1	973
2	768
3	807
4	785
5	776
6	760
7	714
8	702
9	663
10	680
11	655
12	681
13	602
14	613
15	589
16	577
17	571
18	552
19	572
20	534
21	559
22	505
23	526
24	506
25	442
